Genome_ID,Species_current,Genus,Accession,Study_group
LABG_0345,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_048541615.1,core_LAB
LABG_0346,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_048568895.1,core_LAB
LABG_0347,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049177195.1,core_LAB
LABG_0348,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049177205.1,core_LAB
LABG_0349,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049188355.1,core_LAB
LABG_0350,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049190885.1,core_LAB
LABG_0351,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049241955.1,core_LAB
LABG_0352,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049330845.1,core_LAB
LABG_0353,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049477935.1,core_LAB
LABG_0354,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_049544935.1,core_LAB
LABG_0355,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049942725.1,core_LAB
LABG_0356,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049942745.1,core_LAB
LABG_0357,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_049990875.1,core_LAB
LABG_0358,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_050106605.1,core_LAB
LABG_0359,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_050407965.1,core_LAB
LABG_0360,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_050563485.1,core_LAB
LABG_0361,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_050613195.1,core_LAB
LABG_0362,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_050613265.1,core_LAB
LABG_0363,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_050707955.1,core_LAB
LABG_0364,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_050847345.1,core_LAB
LABG_0365,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_050858995.1,core_LAB
LABG_0366,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_050871075.1,core_LAB
LABG_0367,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_050920835.1,core_LAB
LABG_0368,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_051098045.1,core_LAB
LABG_0369,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051123805.1,core_LAB
LABG_0370,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051217015.1,core_LAB
LABG_0371,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051225605.1,core_LAB
LABG_0372,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051557165.1,core_LAB
LABG_0373,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051860185.1,core_LAB
LABG_0374,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051903995.1,core_LAB
LABG_0375,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051918085.1,core_LAB
LABG_0376,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_051990715.1,core_LAB
LABG_0377,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052037465.1,core_LAB
LABG_0378,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052063245.1,core_LAB
LABG_0379,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052232885.1,core_LAB
LABG_0380,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052373675.1,core_LAB
LABG_0381,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052373895.1,core_LAB
LABG_0382,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052386115.1,core_LAB
LABG_0383,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052438955.1,core_LAB
LABG_0384,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052692365.1,core_LAB
LABG_0385,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_052692615.1,core_LAB
LABG_0386,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_053570545.1,core_LAB
LABG_0387,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_053813565.1,core_LAB
LABG_0388,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_053849045.1,core_LAB
LABG_0389,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_054031125.1,core_LAB
LABG_0390,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_054113425.1,core_LAB
LABG_0391,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_054129855.1,core_LAB
LABG_0392,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_054343575.1,core_LAB
LABG_0393,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_054484395.1,core_LAB
LABG_0394,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_054568115.1,core_LAB
LABG_0395,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_054695985.1,core_LAB
LABG_0396,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_054918155.1,core_LAB
LABG_0397,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_055233895.1,core_LAB
LABG_0398,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_055234055.1,core_LAB
LABG_0399,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_055809795.1,core_LAB
LABG_0400,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056175105.1,core_LAB
LABG_0401,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056270385.1,core_LAB
LABG_0402,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056490545.1,core_LAB
LABG_0403,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056618465.1,core_LAB
LABG_0404,Lactiplantibacillus paraplantarum,Lactiplantibacillus,GCF_056618485.1,core_LAB
LABG_0405,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056725865.1,core_LAB
LABG_0406,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056739195.1,core_LAB
LABG_0407,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056821015.1,core_LAB
LABG_0408,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_056847305.1,core_LAB
LABG_0409,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_056858315.1,core_LAB
LABG_0410,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057073515.1,core_LAB
LABG_0411,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057073525.1,core_LAB
LABG_0412,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057073535.1,core_LAB
LABG_0413,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057073965.1,core_LAB
LABG_0414,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057074005.1,core_LAB
LABG_0415,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_057074015.1,core_LAB
LABG_0416,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057365125.1,core_LAB
LABG_0417,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057400285.1,core_LAB
LABG_0418,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057400295.1,core_LAB
LABG_0419,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057418535.1,core_LAB
LABG_0420,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057418565.1,core_LAB
LABG_0421,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057418615.1,core_LAB
LABG_0422,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057418625.1,core_LAB
LABG_0423,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057418965.1,core_LAB
LABG_0424,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057457675.1,core_LAB
